Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,751441,-,-,-,29.21,-94.58,-6,0,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point
2013,1,1,0,30,0,0,0,5.5,18.8,173.51,1014,18.7
2013,1,1,1,30,0,0,0,5.9,18.900000000000002,163.51,1014,18.8
2013,1,1,2,30,0,0,0,6,18.900000000000002,150.67000000000002,1014,18.8
2013,1,1,3,30,0,0,0,5.5,18.7,137.59,1013,18.7
2013,1,1,4,30,0,0,0,4.6000000000000005,18.3,124.58,1013,18.3
2013,1,1,5,30,0,0,0,3.7,17.7,111.79,1014,17.7
2013,1,1,6,30,0,0,0,3.3000000000000003,16.8,99.34,1014,16.8
2013,1,1,7,30,2,2,0,4.3,15.8,87.2,1015,15.8
2013,1,1,8,30,40,40,0,6.2,14.8,76.31,1016,14.8
2013,1,1,9,30,10,10,0,7.7,14.200000000000001,66.55,1017,13.700000000000001
2013,1,1,10,30,38,38,0,8.3,14.100000000000001,58.69,1017,12.9
2013,1,1,11,30,25,25,0,8.200000000000001,14.3,53.620000000000005,1017,12.600000000000001
2013,1,1,12,30,150,150,0,8,14.5,52.160000000000004,1017,12.600000000000001
2013,1,1,13,30,121,121,0,7.9,14.600000000000001,54.620000000000005,1017,12.4
2013,1,1,14,30,85,85,0,7.800000000000001,14.600000000000001,60.51,1017,12.100000000000001
2013,1,1,15,30,25,25,0,7.4,14.5,68.95,1018,11.9
